EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AverageWorkingHours,rateOfAttrition
1257,30,No,Travel_Frequently,Research & Development,1,4,Medical,Male,1,Research Scientist,Single,20330,1,14,1,12,3,12,3,7,3,4,3,1,3,6.003849359,0.083333333
1258,41,Yes,Travel_Rarely,Sales,20,4,Marketing,Male,2,Sales Executive,Married,102090,1,13,1,23,2,22,15,8,2,3,3,3,3,5.251227564,0.043478261
1259,34,No,Non-Travel,Research & Development,7,2,Technical Degree,Female,1,Research Scientist,Single,86200,0,13,1,10,2,9,8,7,2,3,3,2,3,7.038032051,0
1260,37,No,Travel_Rarely,Research & Development,17,3,Life Sciences,Female,3,Sales Executive,Married,20640,4,16,0,8,3,1,0,0,2,2,3,2,3,5.421742521,0.5
1262,35,No,Travel_Rarely,Research & Development,8,4,Medical,Female,3,Research Scientist,Married,38380,1,16,1,1,2,1,0,1,4,4,3,3,3,6.11242094,1
1263,48,Yes,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,1,Sales Executive,Single,45910,9,16,0,23,6,1,0,0,1,3,3,1,3,8.294644231,0.391304348
1264,28,Yes,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,25610,1,22,1,2,3,2,2,2,3,3,2,3,4,9.697266026,0.5
1265,44,No,Travel_Rarely,Research & Development,1,1,Medical,Female,3,Research Scientist,Divorced,15630,5,12,2,9,3,4,1,3,2,1,2,3,3,8.592056624,0.555555556
1266,35,No,Non-Travel,Research & Development,5,4,Technical Degree,Female,3,Manufacturing Director,Married,48980,2,15,2,10,2,4,2,3,3,1,3,3,3,8.668087607,0.2
1267,26,No,Travel_Rarely,Research & Development,4,4,Life Sciences,Female,3,Sales Executive,Married,47890,7,20,1,5,2,2,0,0,3,4,2,3,4,9.454080128,1.4
1268,33,No,Travel_Frequently,Sales,29,4,Life Sciences,Female,1,Human Resources,Single,31800,1,14,1,15,2,15,8,12,1,4,3,3,3,7.734215812,0.066666667
1269,35,No,Travel_Frequently,Research & Development,15,3,Medical,Male,3,Manufacturing Director,Married,65490,1,20,0,9,3,9,1,8,2,1,2,3,4,5.776245726,0.111111111
1270,35,No,Travel_Rarely,Human Resources,3,2,Life Sciences,Female,1,Laboratory Technician,Married,63880,3,13,0,4,6,2,2,2,3,1,3,2,3,7.876254274,0.75
1271,31,No,Travel_Rarely,Sales,10,2,Life Sciences,Female,2,Research Scientist,Divorced,112440,3,12,1,10,3,7,1,7,4,4,2,3,3,5.627138889,0.3
1272,37,No,Travel_Rarely,Sales,4,3,Marketing,Male,4,Human Resources,Divorced,160320,1,13,0,7,2,7,0,7,1,3,4,3,3,6.680361111,0.142857143
1273,32,No,Travel_Rarely,Research & Development,21,3,Other,Male,2,Sales Executive,Married,23620,1,11,0,9,2,9,7,8,1,4,3,3,3,7.141830128,0.111111111
1274,38,No,Travel_Frequently,Research & Development,25,3,Medical,Male,2,Manufacturing Director,Single,163280,1,17,3,10,2,10,9,9,4,4,3,3,3,5.617423077,0.1
1275,50,No,Travel_Rarely,Sales,2,4,Marketing,Female,4,Research Scientist,Divorced,83760,5,14,3,29,2,27,13,8,2,3,2,3,3,8.578051282,0.172413793
1276,59,No,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,1,Laboratory Technician,Single,166060,7,11,0,28,6,21,7,9,1,1,2,3,3,6.251469017,0.25
1277,36,No,Travel_Rarely,Sales,1,2,Marketing,Female,2,Sales Executive,Divorced,86060,1,14,2,17,3,17,12,8,3,3,3,3,3,5.612239316,0.058823529
1278,55,No,Travel_Rarely,Research & Development,7,3,Medical,Male,3,Research Scientist,Divorced,22720,2,17,1,21,2,5,0,2,4,3,3,3,3,7.552262821,0.095238095
1279,36,No,Travel_Frequently,Research & Development,3,3,Life Sciences,Female,2,Laboratory Technician,Single,20180,1,13,0,6,5,6,0,3,2,2,3,3,3,6.299369658,0.166666667
1280,45,No,Travel_Rarely,Research & Development,1,2,Medical,Female,1,Sales Executive,Divorced,70830,2,12,1,25,5,1,0,0,2,1,3,3,3,6.283568376,0.08
1281,35,No,Travel_Frequently,Human Resources,9,3,Other,Female,2,Sales Representative,Married,40840,4,13,1,5,3,3,1,2,2,1,2,3,3,5.655472222,0.8
1282,36,Yes,Travel_Rarely,Sales,7,2,Life Sciences,Male,4,Laboratory Technician,Married,144110,0,18,3,2,2,1,0,0,4,3,2,4,3,8.311478632,0
1283,59,No,Travel_Frequently,Research & Development,10,4,Life Sciences,Male,3,Research Scientist,Single,23080,7,19,1,20,4,4,1,3,1,3,2,2,3,6.006509615,0.35
1284,29,No,Travel_Rarely,Research & Development,28,4,Life Sciences,Female,1,Sales Representative,Married,48410,0,11,0,6,3,5,0,4,3,2,3,3,3,7.10528312,0
1285,31,No,Travel_Rarely,Research & Development,3,2,Medical,Female,3,Sales Executive,Single,42850,1,21,1,1,2,1,1,0,3,2,3,1,4,5.573370726,1
1286,32,No,Travel_Rarely,Sales,3,4,Life Sciences,Male,2,Manufacturing Director,Married,97150,1,15,1,10,1,10,0,9,2,2,3,2,3,6.972862179,0.1
1287,36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Sales Representative,Married,43200,3,17,0,5,2,1,0,0,2,4,3,3,3,6.351424145,0.6
1288,31,No,Travel_Rarely,Research & Development,27,3,Medical,Female,2,Research Director,Single,21320,1,18,0,11,3,11,1,8,3,4,3,3,3,5.673544872,0.090909091
1289,35,No,Travel_Rarely,Research & Development,2,4,Medical,Male,2,Healthcare Representative,Single,101240,0,14,1,16,2,15,2,8,3,1,3,4,3,5.463928419,0
1290,45,No,Travel_Rarely,Human Resources,14,3,Human Resources,Female,1,Sales Executive,Married,54730,4,13,0,17,3,0,0,0,4,1,4,1,3,8.075439103,0.235294118
1291,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,3,Sales Executive,Single,52070,4,17,3,16,3,5,0,2,1,3,4,3,3,6.216600427,0.25
1292,46,No,Travel_Rarely,Research & Development,9,3,Medical,Male,3,Manager,Divorced,164370,8,15,1,16,0,4,0,2,2,2,3,3,3,9.400982906,0.5
1293,30,No,Travel_Rarely,Sales,18,3,Life Sciences,Male,4,Human Resources,Married,22960,1,18,1,10,2,10,3,0,4,4,2,3,3,8.276125,0.1
1294,35,No,Travel_Rarely,Research & Development,20,4,Life Sciences,Female,3,Human Resources,Single,40690,1,13,0,6,5,6,0,4,2,3,3,3,3,7.052433761,0.166666667
1295,55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,2,Laboratory Technician,Married,74410,3,12,1,24,4,1,1,0,1,4,3,3,3,6.141977564,0.125
1296,38,No,Non-Travel,Sales,11,1,Marketing,Male,2,Laboratory Technician,Divorced,24300,7,13,2,17,2,13,1,9,2,4,3,4,3,7.726919872,0.411764706
1297,34,No,Travel_Rarely,Research & Development,8,2,Medical,Male,1,Research Scientist,Married,58780,1,14,0,5,1,5,1,3,1,2,3,3,3,7.454385684,0.2
1298,56,No,Travel_Rarely,Human Resources,2,1,Medical,Male,2,Sales Executive,Single,26440,4,11,1,37,2,6,0,2,4,4,2,3,3,5.850903846,0.108108108
1299,23,No,Travel_Rarely,Research & Development,10,3,Medical,Male,2,Laboratory Technician,Divorced,64390,3,22,3,3,2,0,0,0,3,1,3,3,4,5.641977564,1
1300,51,No,Travel_Rarely,Research & Development,29,4,Life Sciences,Female,5,Manufacturing Director,Married,24510,3,17,0,10,2,4,0,3,4,4,3,2,3,6.187160256,0.3
1301,30,No,Travel_Rarely,Sales,8,2,Technical Degree,Male,1,Sales Representative,Married,63920,1,21,1,11,2,11,10,8,3,4,3,4,4,7.119536325,0.090909091
1302,46,Yes,Travel_Rarely,Sales,1,2,Medical,Female,2,Research Scientist,Single,97140,1,22,0,9,0,9,4,7,3,4,3,3,4,5.76840812,0.111111111
1303,40,No,Travel_Frequently,Research & Development,6,3,Medical,Male,1,Healthcare Representative,Married,60770,1,16,2,22,2,22,11,11,3,2,2,2,3,6.55029594,0.045454545
1304,51,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,5,Sales Representative,Single,24500,0,12,1,11,2,10,1,0,3,4,1,3,3,9.155998932,0
1305,30,No,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,1,Manufacturing Director,Divorced,92500,1,12,3,11,0,11,2,7,3,2,2,3,3,7.326314103,0.090909091
1306,46,No,Travel_Frequently,Research & Development,12,1,Medical,Male,1,Laboratory Technician,Married,20740,2,15,1,21,3,10,9,5,3,1,2,3,3,8.188244658,0.095238095
1307,32,No,Travel_Rarely,Sales,15,3,Marketing,Male,1,Research Scientist,Single,101690,1,14,0,12,6,11,5,7,2,3,3,2,3,6.776679487,0.083333333
1308,54,No,Travel_Rarely,Research & Development,25,1,Medical,Female,1,Laboratory Technician,Married,48550,9,25,1,16,2,4,0,3,1,3,1,2,4,7.031215812,0.5625
1309,24,No,Travel_Rarely,Sales,6,2,Marketing,Male,2,Research Scientist,Married,40870,0,20,3,4,1,3,0,2,1,3,2,3,4,7.045909188,0
1310,28,No,Non-Travel,Sales,9,4,Medical,Male,2,Laboratory Technician,Married,23670,1,13,0,5,2,5,0,4,2,3,4,2,3,5.576181624,0.2
1311,58,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,2,Sales Executive,Single,29720,0,14,0,38,2,37,1,8,4,3,2,4,3,6.289777778,0
1312,44,No,Non-Travel,Research & Development,23,2,Medical,Female,1,Research Scientist,Married,195860,4,16,0,17,3,3,1,2,2,2,4,2,3,6.292619658,0.235294118
1314,32,No,Travel_Rarely,Human Resources,12,2,Human Resources,Female,1,Sales Representative,Single,20610,1,15,1,1,2,1,0,0,4,1,3,2,3,7.164061966,1
1315,20,Yes,Travel_Frequently,Sales,4,4,Life Sciences,Female,2,Healthcare Representative,Single,99240,1,22,0,1,3,1,1,0,4,4,3,3,4,10.13533013,1
1316,34,No,Travel_Rarely,Research & Development,1,4,Other,Male,4,Laboratory Technician,Single,41980,1,22,1,16,2,16,2,10,1,3,3,2,4,6.94871047,0.0625
1317,37,No,Non-Travel,Sales,24,2,Life Sciences,Male,1,Research Scientist,Divorced,68150,5,20,1,17,3,1,0,0,3,4,4,3,4,6.915538462,0.294117647
1318,59,No,Non-Travel,Research & Development,12,2,Life Sciences,Male,2,Sales Executive,Married,47230,9,14,0,30,0,3,2,2,3,4,3,3,3,6.49082265,0.3
1319,50,No,Travel_Frequently,Research & Development,3,4,Medical,Male,4,Research Scientist,Married,61420,3,13,2,28,3,8,0,7,1,2,2,2,3,8.588871795,0.107142857
1320,25,Yes,Travel_Rarely,Sales,10,1,Marketing,Male,2,Research Director,Single,82370,1,13,0,6,6,6,0,3,3,3,3,2,3,7.888185897,0.166666667
1321,25,No,Travel_Rarely,Research & Development,26,3,Technical Degree,Male,1,Laboratory Technician,Married,88530,1,22,1,2,3,2,2,1,4,4,3,3,4,7.138698718,0.5
1322,22,No,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,1,Sales Representative,Single,193310,1,12,1,1,2,0,0,0,2,4,3,3,3,5.828567308,1
1323,51,No,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,1,Sales Executive,Single,20730,3,14,1,23,4,13,12,8,1,1,2,3,3,6.884646368,0.130434783
1325,54,No,Non-Travel,Research & Development,9,3,Life Sciences,Male,1,Laboratory Technician,Single,196130,2,17,0,23,5,5,4,4,4,4,3,3,3,7.20349359,0.086956522
1326,24,No,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,2,Laboratory Technician,Married,34070,0,13,1,6,4,5,1,2,2,3,3,3,3,5.939026709,0
1327,34,No,Travel_Rarely,Sales,4,3,Marketing,Female,2,Sales Representative,Divorced,50630,6,12,1,12,2,1,0,0,3,2,3,3,3,5.469144231,0.5
1328,37,No,Travel_Rarely,Sales,6,1,Technical Degree,Male,1,Laboratory Technician,Single,46390,2,12,2,12,3,5,1,3,3,4,3,3,3,5.55166453,0.166666667
1329,34,No,Travel_Rarely,Sales,9,2,Medical,Male,2,Healthcare Representative,Single,48760,2,21,1,14,3,11,5,8,3,1,3,3,4,7.191009615,0.142857143
1330,36,No,Travel_Frequently,Human Resources,7,3,Medical,Male,1,Research Scientist,Married,26900,0,11,0,10,1,9,2,8,2,4,3,3,3,7.309081197,0
1331,36,No,Travel_Rarely,Research & Development,1,3,Medical,Female,2,Manufacturing Director,Divorced,175670,5,13,0,7,6,1,0,0,1,4,3,3,3,6.865266026,0.714285714
1332,43,No,Travel_Frequently,Research & Development,3,4,Life Sciences,Male,1,Sales Executive,Married,24080,1,12,1,25,3,25,4,12,3,4,4,3,3,7.866127137,0.04
1333,30,No,Travel_Frequently,Research & Development,10,3,Life Sciences,Female,3,Healthcare Representative,Divorced,28140,1,24,0,10,2,10,0,9,1,3,2,3,4,7.029340812,0.1
1334,33,No,Non-Travel,Sales,7,3,Life Sciences,Male,2,Sales Executive,Married,112450,0,21,0,8,3,7,0,7,3,2,4,3,4,6.269909188,0
1335,56,Yes,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Laboratory Technician,Married,33120,9,19,0,7,1,5,4,3,2,2,3,1,3,8.042666667,1.285714286
1336,51,No,Travel_Rarely,Research & Development,3,2,Other,Female,2,Sales Representative,Single,190490,7,14,1,23,2,20,15,15,1,3,3,3,3,6.172056624,0.304347826
1337,31,Yes,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Sales Executive,Married,21410,4,20,0,12,2,7,7,7,2,3,2,3,4,7.526050214,0.333333333
1338,26,No,Travel_Rarely,Sales,17,3,Medical,Female,2,Manager,Married,57690,1,19,0,5,4,5,4,3,3,2,2,2,3,6.975727564,0.2
1339,58,Yes,Travel_Rarely,Sales,2,2,Medical,Female,1,Research Scientist,Married,43850,1,13,1,40,2,40,15,6,4,4,2,2,3,6.793261752,0.025
1340,19,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,1,Manager,Single,53320,1,23,1,0,2,0,0,0,4,3,2,3,4,8.607568376,0
1341,22,No,Travel_Rarely,Sales,29,4,Technical Degree,Male,1,Sales Executive,Married,46630,0,13,1,3,1,2,2,1,3,4,3,3,3,5.790905983,0
1342,49,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,1,Sales Executive,Married,47240,1,11,1,16,3,15,5,11,3,1,2,2,3,6.641008547,0.0625
1343,43,No,Travel_Frequently,Sales,2,2,Life Sciences,Male,1,Sales Executive,Single,32110,4,13,0,18,2,3,1,2,2,3,3,4,3,7.119379274,0.222222222
1344,50,No,Travel_Frequently,Research & Development,19,4,Life Sciences,Male,2,Sales Executive,Single,53770,4,14,1,16,3,2,2,1,3,4,3,4,3,6.508509615,0.25
1345,31,Yes,Travel_Rarely,Research & Development,15,1,Medical,Female,2,Sales Executive,Married,40660,3,22,0,4,2,2,2,2,2,3,3,2,4,7.921059829,0.75
1346,41,No,Travel_Rarely,Research & Development,17,2,Other,Male,1,Manufacturing Director,Divorced,52080,3,11,3,12,2,9,0,7,3,3,3,1,3,7.15083547,0.25
1347,26,No,Travel_Rarely,Research & Development,17,4,Life Sciences,Male,2,Sales Executive,Married,48770,1,13,1,8,5,8,5,7,3,3,3,4,3,7.277407051,0.125
1348,36,No,Travel_Rarely,Human Resources,25,1,Human Resources,Male,2,Research Scientist,Divorced,31170,6,21,1,7,2,3,0,1,2,2,3,4,4,6.171411325,0.857142857
1349,51,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,1,Manager,Single,15690,2,11,0,18,2,4,0,3,1,4,3,4,3,6.636901709,0.111111111
1350,39,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,1,Research Scientist,Married,196580,4,13,1,17,3,15,5,9,4,3,4,4,3,7.422571581,0.235294118
1351,25,No,Travel_Rarely,Sales,29,1,Medical,Female,3,Research Scientist,Married,30690,2,14,1,6,3,2,2,2,1,3,3,2,3,7.073917735,0.333333333
1352,30,No,Travel_Rarely,Research & Development,21,1,Medical,Male,2,Laboratory Technician,Married,104350,0,11,0,12,5,11,4,7,3,4,1,3,3,8.880356838,0
1353,32,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,2,Research Director,Single,41480,7,15,0,10,0,5,0,4,1,1,4,2,3,7.354676282,0.7
1354,45,No,Travel_Rarely,Research & Development,2,1,Technical Degree,Female,2,Healthcare Representative,Single,57680,5,23,1,9,4,6,0,3,3,4,2,3,4,6.523267094,0.555555556
1355,38,No,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,2,Research Director,Single,50420,3,16,1,19,4,3,2,2,4,3,3,3,3,9.855050214,0.157894737
1356,30,No,Travel_Rarely,Sales,13,3,Marketing,Female,2,Laboratory Technician,Single,57700,1,16,1,5,2,5,0,4,1,3,2,4,3,6.037958333,0.2
1357,32,No,Travel_Frequently,Sales,2,3,Marketing,Male,3,Laboratory Technician,Divorced,77560,0,21,0,9,3,8,0,7,4,4,4,3,4,6.030541667,0
1358,30,No,Travel_Rarely,Research & Development,1,3,Medical,Female,3,Sales Executive,Divorced,103060,5,13,0,8,5,3,2,2,4,1,3,3,3,5.893773504,0.625
1359,30,No,Travel_Rarely,Sales,9,3,Medical,Male,2,Research Scientist,Single,39360,0,11,1,6,3,5,1,2,2,4,3,3,3,5.607059829,0
1360,41,No,Travel_Frequently,Sales,10,2,Medical,Female,3,Manufacturing Director,Divorced,79450,4,12,1,21,6,7,7,7,4,1,2,2,3,6.812277778,0.19047619
1361,41,No,Travel_Rarely,Research & Development,10,4,Medical,Male,4,Research Scientist,Married,57430,2,12,3,7,2,5,1,4,3,1,3,4,3,7.245358974,0.285714286
1362,19,No,Travel_Rarely,Research & Development,1,3,Other,Female,5,Manufacturing Director,Single,152020,1,18,3,1,2,1,0,0,2,2,3,2,3,5.938320513,1
1363,40,No,Travel_Frequently,Research & Development,26,4,Medical,Male,2,Manufacturing Director,Divorced,54400,1,12,1,20,2,20,2,13,2,2,3,3,3,6.141934829,0.05
1364,35,No,Travel_Rarely,Sales,8,1,Marketing,Female,3,Laboratory Technician,Married,37600,1,14,3,10,2,10,0,6,3,2,3,3,3,6.598737179,0.1
1365,53,No,Travel_Rarely,Sales,14,2,Life Sciences,Female,5,Manufacturing Director,Married,35170,2,12,1,13,1,7,4,5,2,3,1,2,3,9.720057692,0.153846154
1366,45,No,Travel_Rarely,Sales,1,4,Technical Degree,Male,1,Research Scientist,Divorced,25800,8,17,3,20,3,17,0,15,2,2,1,3,3,6.007194444,0.4
1367,32,No,Travel_Frequently,Sales,2,2,Life Sciences,Female,1,Manufacturing Director,Single,21660,1,19,1,9,4,9,3,7,2,4,3,1,3,7.147074786,0.111111111
1368,29,No,Non-Travel,Research & Development,10,4,Technical Degree,Male,3,Healthcare Representative,Married,58690,1,11,1,10,6,10,0,9,4,3,3,4,3,5.533813034,0.1
1369,51,No,Travel_Rarely,Research & Development,1,3,Other,Female,3,Research Director,Married,80080,2,15,1,10,4,1,0,0,2,3,3,3,3,7.165757479,0.2
1370,58,No,Travel_Rarely,Sales,3,3,Marketing,Female,1,Research Scientist,Married,52060,4,11,3,9,4,1,0,0,2,2,2,1,3,9.450773504,0.444444444
1371,40,No,Travel_Rarely,Research & Development,11,2,Technical Degree,Male,4,Laboratory Technician,Married,52950,7,18,0,15,4,12,2,11,3,4,2,3,3,5.433348291,0.466666667
1372,34,No,Travel_Frequently,Sales,24,4,Marketing,Male,2,Manufacturing Director,Married,164130,6,16,0,6,1,4,1,2,3,3,3,3,3,6.226147436,1
1373,22,No,Travel_Rarely,Research & Development,3,3,Medical,Male,1,Laboratory Technician,Married,132690,1,25,1,2,2,2,2,2,3,4,3,3,4,7.17578953,0.5
1374,27,No,Non-Travel,Research & Development,3,3,Medical,Male,1,Healthcare Representative,Divorced,27830,6,16,1,6,2,2,2,2,4,2,1,4,3,5.767379274,1
1375,28,No,Travel_Rarely,Sales,4,4,Life Sciences,Male,2,Healthcare Representative,Married,54330,1,13,1,5,4,5,0,2,3,4,1,2,3,5.804090812,0.2
1376,57,No,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,2,Manufacturing Director,Divorced,20130,3,14,1,12,5,5,1,4,3,4,1,3,3,10.2889359,0.25
1377,27,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Manufacturing Director,Divorced,139660,1,19,0,1,1,1,0,1,3,3,2,3,3,9.920708333,1
1378,50,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Manufacturing Director,Single,43740,3,15,1,21,5,5,4,4,3,2,3,4,3,5.56388141,0.142857143
1379,41,No,Travel_Rarely,Sales,7,4,Marketing,Male,4,Laboratory Technician,Divorced,68420,4,12,1,13,3,9,1,8,1,3,3,3,3,5.497054487,0.307692308
1380,30,No,Travel_Rarely,Human Resources,1,4,Human Resources,Female,1,Manager,Married,174260,2,12,1,12,0,10,7,4,2,4,3,2,3,6.165082265,0.166666667
1381,38,No,Travel_Rarely,Sales,1,1,Medical,Male,2,Laboratory Technician,Single,176030,4,16,0,12,0,8,0,7,1,4,4,2,3,5.715722222,0.333333333
1382,32,No,Travel_Rarely,Research & Development,20,3,Medical,Female,1,Manufacturing Director,Single,45810,3,14,1,8,3,5,1,4,3,3,3,3,3,6.187199786,0.375
1383,27,No,Travel_Rarely,Research & Development,5,4,Medical,Male,2,Healthcare Representative,Married,47350,0,13,0,6,2,5,1,1,3,2,2,3,3,7.996458333,0
1384,19,Yes,Travel_Frequently,Research & Development,10,2,Life Sciences,Male,2,Healthcare Representative,Single,41870,0,22,1,1,4,0,0,0,3,1,4,3,4,6.643616453,0
1385,36,No,Travel_Frequently,Sales,25,3,Marketing,Female,2,Research Director,Single,55050,4,21,2,13,3,8,7,2,4,2,2,3,4,6.609291667,0.307692308
1386,30,No,Non-Travel,Sales,1,3,Medical,Female,1,Sales Executive,Divorced,54700,1,18,1,12,2,12,6,10,3,1,3,3,3,6.154308761,0.083333333
1387,45,No,Travel_Rarely,Research & Development,24,2,Medical,Male,2,Sales Executive,Divorced,54760,4,13,1,9,3,5,0,3,3,1,4,3,3,7.281396368,0.444444444
1388,56,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Male,4,Manager,Divorced,25870,4,12,0,19,2,2,2,2,3,1,3,2,3,7.77353953,0.210526316
1389,33,No,Travel_Rarely,Research & Development,2,2,Medical,Male,1,Sales Executive,Single,24400,0,18,3,4,4,3,0,2,3,4,4,3,3,6.032581197,0
1390,19,Yes,Travel_Rarely,Research & Development,8,2,Life Sciences,Male,2,Sales Executive,Single,159720,1,21,0,1,2,1,1,0,2,4,2,3,4,6.404089744,1
1391,46,No,Travel_Rarely,Research & Development,10,3,Technical Degree,Female,2,Laboratory Technician,Divorced,153790,1,12,0,24,1,24,15,7,2,1,3,1,3,6.256143162,0.041666667
1392,38,No,Travel_Rarely,Sales,4,4,Life Sciences,Male,1,Manufacturing Director,Single,70820,1,14,0,2,3,2,2,1,3,4,3,4,3,7.290276709,0.5
1393,31,No,Travel_Rarely,Sales,2,5,Life Sciences,Male,2,Sales Representative,Married,27280,8,11,0,7,3,4,0,2,3,4,3,4,3,9.445878205,1.142857143
1394,34,No,Travel_Rarely,Sales,9,3,Marketing,Female,2,Manager,Single,53680,2,14,1,9,2,3,1,2,4,2,3,3,3,5.767180556,0.222222222
1395,41,Yes,Travel_Rarely,Research & Development,18,4,Life Sciences,Male,5,Laboratory Technician,Single,53470,1,24,1,4,1,4,0,2,2,2,2,3,4,9.53630235,0.25
1396,50,No,Travel_Rarely,Sales,19,4,Marketing,Male,3,Sales Executive,Married,31950,2,11,0,5,4,3,0,2,3,3,2,2,3,5.998127137,0.4
1397,53,No,Travel_Rarely,Sales,1,2,Life Sciences,Male,1,Manager,Divorced,39890,1,13,0,5,2,4,1,3,4,1,3,3,3,5.598844017,0.2
1398,33,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Male,1,Human Resources,Married,33060,1,11,3,8,6,8,1,6,4,2,3,1,3,7.087809829,0.125
1399,40,No,Travel_Rarely,Research & Development,11,3,Life Sciences,Female,2,Sales Executive,Married,70050,1,20,2,21,2,20,9,9,4,3,3,3,4,5.633470085,0.047619048
1400,55,No,Travel_Rarely,Research & Development,6,1,Life Sciences,Female,2,Laboratory Technician,Single,26550,8,17,0,36,0,24,2,15,3,2,3,2,3,5.518026709,0.222222222
1401,34,No,Travel_Frequently,Human Resources,7,4,Other,Female,1,Research Scientist,Married,13930,1,11,2,10,4,10,1,9,4,3,2,4,3,5.937424145,0.1
1402,51,No,Travel_Rarely,Human Resources,4,2,Human Resources,Male,2,Sales Representative,Single,25700,3,18,0,21,2,7,1,0,4,2,3,3,3,6.597274573,0.142857143
1403,52,No,Travel_Rarely,Research & Development,2,4,Medical,Female,2,Sales Representative,Married,35370,0,11,1,34,3,33,11,9,3,3,3,3,3,5.525604701,0
1404,27,No,Travel_Rarely,Sales,15,3,Marketing,Male,1,Research Scientist,Single,39860,1,12,2,7,3,7,0,3,4,2,2,3,3,6.83309188,0.142857143
1405,35,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,2,Research Director,Married,108830,3,12,0,8,3,1,0,1,2,3,3,4,3,8.268278846,0.375
1406,43,No,Non-Travel,Research & Development,6,2,Medical,Male,1,Healthcare Representative,Divorced,20280,4,20,1,7,2,5,2,2,4,4,4,2,4,7.335729701,0.571428571
1407,45,No,Non-Travel,Research & Development,9,2,Medical,Female,1,Sales Executive,Married,95250,9,19,0,22,3,20,11,8,1,4,3,3,3,5.420347222,0.409090909
1409,35,No,Travel_Frequently,Research & Development,1,3,Other,Male,2,Research Director,Single,22750,5,13,0,10,2,6,1,2,2,2,3,4,3,5.366476496,0.5
1410,42,No,Non-Travel,Research & Development,1,1,Technical Degree,Male,2,Sales Executive,Divorced,78790,2,11,1,11,2,5,0,2,3,3,3,3,3,5.614239316,0.181818182
1411,38,No,Travel_Rarely,Sales,8,2,Marketing,Male,5,Research Scientist,Married,49300,9,14,0,14,0,1,0,0,4,3,3,3,3,5.469318376,0.642857143
1412,38,No,Travel_Rarely,Human Resources,25,1,Human Resources,Female,1,Manufacturing Director,Married,78470,3,14,1,9,3,7,1,7,4,4,1,4,3,6.677005342,0.333333333
1413,27,No,Travel_Frequently,Research & Development,13,4,Medical,Male,1,Manager,Married,44010,5,13,0,6,4,2,2,0,3,1,3,2,3,5.790513889,0.833333333
1414,49,No,Non-Travel,Research & Development,23,1,Other,Female,2,Sales Executive,Divorced,92410,1,19,1,7,5,7,1,7,4,4,3,3,3,9.076846154,0.142857143
1415,34,No,Travel_Frequently,Research & Development,7,2,Medical,Male,4,Sales Representative,Divorced,29740,1,23,0,5,2,5,2,0,4,3,4,3,4,9.379372863,0.2
1416,40,No,Travel_Rarely,Research & Development,23,3,Medical,Female,1,Laboratory Technician,Married,45020,8,12,2,15,0,7,3,7,3,4,4,2,3,9.480654915,0.533333333
1417,38,Yes,Travel_Rarely,Sales,6,4,Life Sciences,Female,3,Research Scientist,Married,107480,7,15,0,17,3,1,0,0,2,1,3,3,3,7.564834402,0.411764706
1418,29,Yes,Travel_Rarely,Sales,10,2,Life Sciences,Female,2,Research Scientist,Married,15550,1,19,2,10,2,10,1,9,2,4,2,3,3,6.241832265,0.1
1419,22,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,4,Healthcare Representative,Divorced,129360,1,11,2,4,3,4,2,2,4,2,2,3,3,7.87220406,0.25
